instance_index,family,graph_seed,n,maxcut,target,method,capped_score,evaluations_used,reached_target,expectation_ratio,sampled_ratio
0,er,9000,14,29,25.642870845,Random,400,400,False,0.852731517235,1
0,er,9000,14,29,25.642870845,Heuristic,35,35,True,0.888333633819,1
0,er,9000,14,29,25.642870845,k-NN,1,1,True,0.901102200509,1
0,er,9000,14,29,25.642870845,TQA,20,20,True,0.895734399059,1
0,er,9000,14,29,25.642870845,GNN point,400,400,False,0.851439336237,1
0,er,9000,14,29,25.642870845,GCTR,21,21,True,0.886987820961,1
1,er,9001,14,29,25.7775855443,Random,400,400,False,0.86535460867,1
1,er,9001,14,29,25.7775855443,Heuristic,26,26,True,0.898185301202,1
1,er,9001,14,29,25.7775855443,k-NN,1,1,True,0.911488649383,1
1,er,9001,14,29,25.7775855443,TQA,5,5,True,0.89288428159,1
1,er,9001,14,29,25.7775855443,GNN point,400,273,False,0.869918147843,1
1,er,9001,14,29,25.7775855443,GCTR,29,29,True,0.900992528857,1
2,er,9002,14,35,29.6741261999,Random,400,400,False,0.821760184314,1
2,er,9002,14,35,29.6741261999,Heuristic,27,27,True,0.854677048038,1
2,er,9002,14,35,29.6741261999,k-NN,1,1,True,0.861881422965,1
2,er,9002,14,35,29.6741261999,TQA,20,20,True,0.852433605664,1
2,er,9002,14,35,29.6741261999,GNN point,400,177,False,0.701359801083,0.971428571429
2,er,9002,14,35,29.6741261999,GCTR,36,36,True,0.853612682488,1
3,er,9003,14,31,25.7816111893,Random,97,97,True,0.843975096826,1
3,er,9003,14,31,25.7816111893,Heuristic,9,9,True,0.875917551077,1
3,er,9003,14,31,25.7816111893,k-NN,1,1,True,0.858224314252,1
3,er,9003,14,31,25.7816111893,TQA,1,1,True,0.870948502506,1
3,er,9003,14,31,25.7816111893,GNN point,400,169,False,0.756723681543,0.935483870968
3,er,9003,14,31,25.7816111893,GCTR,10,10,True,0.861122092766,1
4,er,9004,14,30,24.8152990182,Random,26,26,True,0.834531968199,1
4,er,9004,14,30,24.8152990182,Heuristic,9,9,True,0.836859565023,1
4,er,9004,14,30,24.8152990182,k-NN,1,1,True,0.835147142748,1
4,er,9004,14,30,24.8152990182,TQA,1,1,True,0.835745287599,1
4,er,9004,14,30,24.8152990182,GNN point,84,84,True,0.829793473892,1
4,er,9004,14,30,24.8152990182,GCTR,13,13,True,0.83025942185,1
5,er,9005,14,34,28.0881990958,Random,400,400,False,0.817284470259,1
5,er,9005,14,34,28.0881990958,Heuristic,9,9,True,0.867307316439,1
5,er,9005,14,34,28.0881990958,k-NN,1,1,True,0.891545601656,1
5,er,9005,14,34,28.0881990958,TQA,1,1,True,0.85578161281,1
5,er,9005,14,34,28.0881990958,GNN point,400,400,False,0.766725773114,1
5,er,9005,14,34,28.0881990958,GCTR,10,10,True,0.855916728076,1
6,er,9006,14,32,26.5429191566,Random,148,148,True,0.839144859188,1
6,er,9006,14,32,26.5429191566,Heuristic,10,10,True,0.830353464462,1
6,er,9006,14,32,26.5429191566,k-NN,1,1,True,0.849498489904,1
6,er,9006,14,32,26.5429191566,TQA,20,20,True,0.842946596477,1
6,er,9006,14,32,26.5429191566,GNN point,400,400,False,0.704879865914,0.90625
6,er,9006,14,32,26.5429191566,GCTR,36,36,True,0.840777499608,1
7,er,9007,14,32,28.5403542964,Random,400,400,False,0.865095170159,1
7,er,9007,14,32,28.5403542964,Heuristic,18,18,True,0.904735761893,1
7,er,9007,14,32,28.5403542964,k-NN,400,400,False,0.86513387676,1
7,er,9007,14,32,28.5403542964,TQA,5,5,True,0.894068468887,1
7,er,9007,14,32,28.5403542964,GNN point,400,201,False,0.866068853125,1
7,er,9007,14,32,28.5403542964,GCTR,29,29,True,0.899612322317,1
8,er,9008,14,35,29.5345587221,Random,400,400,False,0.791908189292,1
8,er,9008,14,35,29.5345587221,Heuristic,15,15,True,0.844646905731,1
8,er,9008,14,35,29.5345587221,k-NN,1,1,True,0.844392023359,1
8,er,9008,14,35,29.5345587221,TQA,5,5,True,0.847497619248,1
8,er,9008,14,35,29.5345587221,GNN point,400,161,False,0.71894877119,0.914285714286
8,er,9008,14,35,29.5345587221,GCTR,29,29,True,0.849895892246,1
9,er,9009,14,32,28.5426579812,Random,400,400,True,0.906541850181,1
9,er,9009,14,32,28.5426579812,Heuristic,34,34,True,0.895018712878,1
9,er,9009,14,32,28.5426579812,k-NN,1,1,True,0.909155015031,1
9,er,9009,14,32,28.5426579812,TQA,18,18,True,0.893725363527,1
9,er,9009,14,32,28.5426579812,GNN point,400,193,False,0.858980093328,1
9,er,9009,14,32,28.5426579812,GCTR,29,29,True,0.895482709373,1
10,er,9010,14,29,25.2770554364,Random,400,400,False,0.825876247105,1
10,er,9010,14,29,25.2770554364,Heuristic,19,19,True,0.874154860731,1
10,er,9010,14,29,25.2770554364,k-NN,400,305,False,0.830757814053,1
10,er,9010,14,29,25.2770554364,TQA,20,20,True,0.881196763907,1
10,er,9010,14,29,25.2770554364,GNN point,400,161,False,0.714247091716,0.931034482759
10,er,9010,14,29,25.2770554364,GCTR,39,39,True,0.883729623459,1
11,er,9011,14,35,27.6078649518,Random,118,118,True,0.800448936089,1
11,er,9011,14,35,27.6078649518,Heuristic,9,9,True,0.83348559396,1
11,er,9011,14,35,27.6078649518,k-NN,1,1,True,0.797468663442,1
11,er,9011,14,35,27.6078649518,TQA,1,1,True,0.827097394332,1
11,er,9011,14,35,27.6078649518,GNN point,400,400,False,0.707200088277,0.914285714286
11,er,9011,14,35,27.6078649518,GCTR,10,10,True,0.82446108837,1
12,rr,9012,14,18,15.1010537383,Random,298,298,True,0.848468266789,1
12,rr,9012,14,18,15.1010537383,Heuristic,15,15,True,0.842522761154,1
12,rr,9012,14,18,15.1010537383,k-NN,1,1,True,0.848201395666,1
12,rr,9012,14,18,15.1010537383,TQA,30,30,True,0.842661144704,1
12,rr,9012,14,18,15.1010537383,GNN point,400,177,False,0.836585177798,1
12,rr,9012,14,18,15.1010537383,GCTR,15,15,True,0.843348696464,1
13,rr,9013,14,19,15.397113366,Random,352,352,True,0.815787292284,1
13,rr,9013,14,19,15.397113366,Heuristic,9,9,True,0.818265566304,1
13,rr,9013,14,19,15.397113366,k-NN,1,1,True,0.822662095641,1
13,rr,9013,14,19,15.397113366,TQA,28,28,True,0.810855461415,1
13,rr,9013,14,19,15.397113366,GNN point,400,225,False,0.80162982169,1
13,rr,9013,14,19,15.397113366,GCTR,14,14,True,0.821787392821,1
14,rr,9014,14,18,14.8545260635,Random,39,39,True,0.82533391874,1
14,rr,9014,14,18,14.8545260635,Heuristic,9,9,True,0.832742483323,1
14,rr,9014,14,18,14.8545260635,k-NN,1,1,True,0.833148608477,1
14,rr,9014,14,18,14.8545260635,TQA,38,38,True,0.834903920386,1
14,rr,9014,14,18,14.8545260635,GNN point,225,225,True,0.826008767609,1
14,rr,9014,14,18,14.8545260635,GCTR,15,15,True,0.833583454097,1
15,rr,9015,14,18,14.8489115829,Random,192,192,True,0.837983973562,1
15,rr,9015,14,18,14.8489115829,Heuristic,18,18,True,0.828316219925,1
15,rr,9015,14,18,14.8489115829,k-NN,1,1,True,0.838502423921,1
15,rr,9015,14,18,14.8489115829,TQA,38,38,True,0.832763708739,1
15,rr,9015,14,18,14.8489115829,GNN point,23,23,True,0.826252215987,1
15,rr,9015,14,18,14.8489115829,GCTR,15,15,True,0.827547115805,1
16,rr,9016,14,18,15.2814688713,Random,352,352,True,0.867996314073,1
