z,K_seeds,T_budget_cap
-2.0188,1,100
-1.929,1,100
-2.3676,1,100
-2.1697,1,100
-1.794,1,100
-2.3354,1,100
-2.1894,1,100
-2.2285,1,100
-2.3211,1,100
-2.2301,1,100
-1.7416,1,100
-2.2893,1,100
0.0824,3,116
-0.2523,2,100
0.497,3,199
0.4586,3,191
0.3197,3,163
0.2955,3,159
-0.9721,2,100
0.6129,3,222
0.0656,3,113
0.1667,3,133
-0.2097,2,100
0.0594,3,111
-0.3297,2,100
0.1152,3,123
0.3161,3,163
-0.021,2,100
-0.3032,2,100
0.3039,3,160
-0.0247,2,100
0.3342,3,166
-0.1181,2,100
-0.1262,2,100
-0.3671,2,100
0.3045,3,160
-0.1991,2,100
-0.1273,2,100
0.1478,3,129
0.1977,3,139
-0.0092,2,100
0.0635,3,112
-0.0158,2,100
0.0695,3,113
0.158,3,131
0.0645,3,112
0.1792,3,135
0.0656,3,113
